,Genotypes,PruningBiomass,TimeofBudbrust,Timeoffullbloom,Time of verasion,ABW,BW,BD,BL,TSS,Acidity,Compaactness,Skinfirmness,Bunlen,pedunclelength,Physiologicalmaturity,Seed weight ,NOS
61,Tannat(B2-6-1),0.7716666666666666,12.0,34.333333333333336,103.33333333333333,112.00999999999999,104.42666666666666,16.066666666666666,16.933333333333334,19.233333333333334,0.82,10.306666666666667,54.56666666666666,10.4,17.2,136.0,7.536666666666666,1.6666666666666667
62,Tigvosa,0.4543333333333333,11.0,34.0,97.0,410.04333333333335,67.02666666666667,12.4,13.833333333333334,18.333333333333332,0.73,7.383333333333333,56.03333333333333,9.266666666666667,15.266666666666666,123.66666666666667,5.37,1.6666666666666667
63,Trebbiano,0.408,13.333333333333334,38.666666666666664,97.66666666666667,386.3333333333333,71.03333333333335,12.733333333333334,14.166666666666666,18.376666666666665,0.52,3.5833333333333335,46.666666666666664,15.733333333333333,16.099999999999998,124.66666666666667,6.55,1.6666666666666667
64,Tsimlyanski Chernyi,0.6213333333333333,12.0,35.333333333333336,100.33333333333333,297.49,113.88333333333334,18.400000000000002,19.066666666666666,17.99,0.9900000000000001,2.36,41.4,19.333333333333332,16.366666666666667,126.66666666666667,3.43,1.6666666666666667
65,VP X Beauty Seedless,1.066,10.0,31.333333333333332,105.33333333333333,55.56666666666666,41.27666666666667,13.766666666666666,17.933333333333334,20.47666666666667,0.6066666666666666,4.476666666666667,46.5,9.333333333333334,11.700000000000001,137.0,3.5766666666666667,1.0
66,VP X Centennial Seedless,0.3,11.666666666666666,35.0,97.66666666666667,164.44333333333336,87.12333333333333,15.433333333333332,18.366666666666667,16.666666666666668,0.64,4.533333333333333,51.13333333333333,12.533333333333333,21.133333333333333,130.0,5.526666666666667,1.6666666666666667
67,Vermentno,0.09400000000000001,10.333333333333334,36.0,99.0,136.82666666666668,100.16666666666667,14.6,15.533333333333333,21.816666666666666,0.6466666666666666,5.296666666666667,51.73333333333333,14.366666666666665,19.566666666666666,116.33333333333333,5.2700000000000005,1.3333333333333333
68,Viognier,0.6466666666666666,9.333333333333334,32.0,94.0,137.1966666666667,103.26666666666667,14.233333333333334,12.566666666666668,17.666666666666668,0.7433333333333333,9.549999999999999,48.76666666666667,12.166666666666666,12.633333333333333,117.33333333333333,6.483333333333333,2.0
69,Waltham Cross,1.8176666666666668,11.0,37.666666666666664,99.33333333333333,273.93333333333334,200.76333333333332,16.166666666666668,20.156666666666666,18.44,0.9400000000000001,5.29,59.46,15.656666666666666,28.96666666666667,123.66666666666667,5.376666666666666,2.0
70, E-8-25,0.517,12.333333333333334,34.666666666666664,116.66666666666667,57.093333333333334,62.42666666666667,12.033333333333333,12.299999999999999,18.676666666666666,0.5766666666666667,2.486666666666667,43.300000000000004,15.5,20.333333333333332,143.33333333333334,3.3000000000000003,1.6666666666666667
71, SV-12309,0.25366666666666665,12.0,36.0,103.0,367.85666666666674,54.156666666666666,12.733333333333334,13.4,18.2,0.7066666666666667,6.8,59.73333333333333,13.166666666666666,12.766666666666666,140.66666666666666,7.43,1.6666666666666667
72, SV-12364,0.5143333333333333,13.333333333333334,32.666666666666664,103.33333333333333,380.90000000000003,61.413333333333334,12.166666666666666,12.6,22.483333333333334,0.59,2.5933333333333333,54.43333333333334,14.733333333333334,16.2,136.33333333333334,6.846666666666667,2.0
73, SV-18402,0.6699999999999999,11.0,31.0,105.66666666666667,533.6566666666666,93.66666666666667,12.766666666666666,14.933333333333332,18.53333333333333,0.62,3.5566666666666666,58.56666666666666,11.633333333333333,6.666666666666667,126.33333333333333,5.8500000000000005,2.0
74, SV-23501,0.785,9.0,31.333333333333332,108.0,477.76666666666665,88.75999999999999,12.266666666666666,13.266666666666666,17.099999999999998,0.6733333333333333,8.446666666666667,52.0,12.666666666666666,8.0,134.66666666666666,6.993333333333333,1.6666666666666667
